,original_cell_type,organ,uniform_label,uniform_label_lvl0,uniform_label_expanded_merged
189,Eo_Baso_Mast_precursor,ys,EO/BASO/MAST PRECURSOR,EO_BASO_MAST,EO/BASO/MAST PRECURSOR
190,Eo_Basophil,ys,EO/BASOPHIL,EO_BASO_MAST,EO/BASOPHIL
191,Epithelium,ys,EPITHELIUM,EPI,EPITHELIUM
192,Erythroid,ys,ERYTHROID,ERYTHROID,ERYTHROID
193,Fibroblast,ys,FIBROBLAST,STROMAL,FIBROBLAST
194,HSC,ys,HSC,HSC_MPP,HSC
195,IL33+_Endothelium,ys,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
196,ILC_precursor,ys,ILC PRECURSOR,LYMPHOID,ILC PRECURSOR
197,LMPP,ys,LMPP,HSC_MPP,LYMPHOID_PROGENITOR
198,Lymphoid_progenitor,ys,LYMPHOID PROGENITOR,HSC_MPP,LYMPHOID PROGENITOR
199,LYVE1+_Endothelium,ys,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
200,Mac_DC_precursor,ys,MACROPHAGE/DC PRECURSOR,MYELOID,MACROPHAGE/DC PRECURSOR
201,Macrophage,ys,MACROPHAGE,MYELOID,MACROPHAGE
202,Mast_cell,ys,MAST CELL,EO_BASO_MAST,MAST CELL
203,MEMP,ys,MEMP,HSC_MPP,MEMP
204,microglia,ys,GLIA,GLIAL,GLIA
205,MK,ys,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
206,Monocyte,ys,MONOCYTE,MYELOID,MONOCYTE
207,Monocyte_Macrophage,ys,MONOCYTE/MACROPHAGE,MYELOID,MONOCYTE/MACROPHAGE
